제목,URL,혜택
교보문고,https://product.kyobobook.co.kr/detail/S000215028064,
알라딘,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=354318898,
알라딘 <포토카드 2종+틴케이스>,https://www.aladin.co.kr/events/wevent.aspx?EventId=285330&start=pbanner,
알라딘 <아크릴 키링> 증정 이벤트,https://www.aladin.co.kr/events/wevent.aspx?EventId=281007&start=pbanner,
YES24,https://www.yes24.com/Product/Goods/140371473,
YES24 <포토카드 2종+틴케이스>,https://event.yes24.com/template?EventNo=257101,
<밉지않은 관종언니> YOUTUBE,https://youtu.be/UHwhZ3uu3ow?si=LipZRcIwknBizucG,
<육퇴한 밤> YOUTUBE ,https://www.youtube.com/watch?v=q9AD0IbNGA4,
<교육 나침반> YOUTUBE,https://www.youtube.com/watch?v=Hb67GeuUs-U,
